,image_paths,labels
0,images/0.png,5
1,images/1.png,0
2,images/2.png,4
3,images/3.png,1
4,images/4.png,9
5,images/5.png,2
6,images/6.png,1
7,images/7.png,3
8,images/8.png,1
9,images/9.png,4
10,images/10.png,3
11,images/11.png,5
12,images/12.png,3
13,images/13.png,6
14,images/14.png,1
15,images/15.png,7
16,images/16.png,2
17,images/17.png,8
18,images/18.png,6
19,images/19.png,9
20,images/20.png,4
21,images/21.png,0
22,images/22.png,9
23,images/23.png,1
24,images/24.png,1
25,images/25.png,2
26,images/26.png,4
27,images/27.png,3
28,images/28.png,2
29,images/29.png,7
30,images/30.png,3
31,images/31.png,8
32,images/32.png,6
33,images/33.png,9
34,images/34.png,0
35,images/35.png,5
36,images/36.png,6
37,images/37.png,0
38,images/38.png,7
39,images/39.png,6
40,images/40.png,1
41,images/41.png,8
42,images/42.png,7
43,images/43.png,9
44,images/44.png,3
45,images/45.png,9
46,images/46.png,8
47,images/47.png,5
48,images/48.png,9
49,images/49.png,3
50,images/50.png,3
51,images/51.png,0
52,images/52.png,7
53,images/53.png,4
54,images/54.png,9
55,images/55.png,8
56,images/56.png,0
57,images/57.png,9
58,images/58.png,4
59,images/59.png,1
60,images/60.png,4
61,images/61.png,4
62,images/62.png,6
63,images/63.png,0
64,images/64.png,4
65,images/65.png,5
66,images/66.png,6
67,images/67.png,1
68,images/68.png,0
69,images/69.png,0
70,images/70.png,1
71,images/71.png,7
72,images/72.png,1
73,images/73.png,6
74,images/74.png,3
75,images/75.png,0
76,images/76.png,2
77,images/77.png,1
78,images/78.png,1
79,images/79.png,7
80,images/80.png,9
81,images/81.png,0
82,images/82.png,2
83,images/83.png,6
84,images/84.png,7
85,images/85.png,8
86,images/86.png,3
87,images/87.png,9
88,images/88.png,0
89,images/89.png,4
90,images/90.png,6
91,images/91.png,7
92,images/92.png,4
93,images/93.png,6
94,images/94.png,8
95,images/95.png,0
96,images/96.png,7
97,images/97.png,8
98,images/98.png,3
99,images/99.png,1
100,images/100.png,5
101,images/101.png,7
102,images/102.png,1
103,images/103.png,7
104,images/104.png,1
105,images/105.png,1
106,images/106.png,6
107,images/107.png,3
108,images/108.png,0
109,images/109.png,2
110,images/110.png,9
111,images/111.png,3
112,images/112.png,1
113,images/113.png,1
114,images/114.png,0
115,images/115.png,4
116,images/116.png,9
117,images/117.png,2
118,images/118.png,0
119,images/119.png,0
120,images/120.png,2
121,images/121.png,0
122,images/122.png,2
123,images/123.png,7
124,images/124.png,1
125,images/125.png,8
126,images/126.png,6
127,images/127.png,4
128,images/128.png,1
129,images/129.png,6
130,images/130.png,3
131,images/131.png,4
132,images/132.png,5
133,images/133.png,9
134,images/134.png,1
135,images/135.png,3
136,images/136.png,3
137,images/137.png,8
138,images/138.png,5
139,images/139.png,4
140,images/140.png,7
141,images/141.png,7
142,images/142.png,4
143,images/143.png,2
144,images/144.png,8
145,images/145.png,5
146,images/146.png,8
147,images/147.png,6
148,images/148.png,7
149,images/149.png,3
150,images/150.png,4
151,images/151.png,6
152,images/152.png,1
153,images/153.png,9
154,images/154.png,9
155,images/155.png,6
156,images/156.png,0
157,images/157.png,3
158,images/158.png,7
159,images/159.png,2
160,images/160.png,8
161,images/161.png,2
162,images/162.png,9
163,images/163.png,4
164,images/164.png,4
165,images/165.png,6
166,images/166.png,4
167,images/167.png,9
168,images/168.png,7
169,images/169.png,0
170,images/170.png,9
171,images/171.png,2
172,images/172.png,9
173,images/173.png,5
174,images/174.png,1
175,images/175.png,5
176,images/176.png,9
177,images/177.png,1
178,images/178.png,2
179,images/179.png,3
180,images/180.png,2
181,images/181.png,3
182,images/182.png,5
183,images/183.png,9
184,images/184.png,1
185,images/185.png,7
186,images/186.png,6
187,images/187.png,2
188,images/188.png,8
189,images/189.png,2
190,images/190.png,2
191,images/191.png,5
192,images/192.png,0
193,images/193.png,7
194,images/194.png,4
195,images/195.png,9
196,images/196.png,7
197,images/197.png,8
198,images/198.png,3
199,images/199.png,2
200,images/200.png,1
201,images/201.png,1
202,images/202.png,8
203,images/203.png,3
204,images/204.png,6
205,images/205.png,1
206,images/206.png,0
